,acc,val_acc,loss,val_loss,model
0,0.75889504,0.771960139,0.479106631,0.568912325,"16-32-64-128, Flip-HV, Dropout"
1,0.812218726,0.797501028,0.400549183,0.514638895,"16-32-64-128, Flip-HV, Dropout"
2,0.832695365,0.812725365,0.36487012,0.477526882,"16-32-64-128, Flip-HV, Dropout"
3,0.845337689,0.771734774,0.341985498,0.60893705,"16-32-64-128, Flip-HV, Dropout"
4,0.857285976,0.842447937,0.31865234,0.414926904,"16-32-64-128, Flip-HV, Dropout"
5,0.86781764,0.870993614,0.299124026,0.342326826,"16-32-64-128, Flip-HV, Dropout"
6,0.87507242,0.8666116,0.285758427,0.370792942,"16-32-64-128, Flip-HV, Dropout"
7,0.883522093,0.87845552,0.270521936,0.33937421,"16-32-64-128, Flip-HV, Dropout"
8,0.891177595,0.896083713,0.256043355,0.274644165,"16-32-64-128, Flip-HV, Dropout"
9,0.895634949,0.899414063,0.247690104,0.277875862,"16-32-64-128, Flip-HV, Dropout"
10,0.900807738,0.902994812,0.237116714,0.273279302,"16-32-64-128, Flip-HV, Dropout"
11,0.905243635,0.891100764,0.22829762,0.31628775,"16-32-64-128, Flip-HV, Dropout"
12,0.907196879,0.886443317,0.222754839,0.322747021,"16-32-64-128, Flip-HV, Dropout"
13,0.90897125,0.900565922,0.219240476,0.284008983,"16-32-64-128, Flip-HV, Dropout"
14,0.913965166,0.901867986,0.210923297,0.281792217,"16-32-64-128, Flip-HV, Dropout"
15,0.915896952,0.907201529,0.206291142,0.225278776,"16-32-64-128, Flip-HV, Dropout"
16,0.917807221,0.923652828,0.200806698,0.221422121,"16-32-64-128, Flip-HV, Dropout"
17,0.919338346,0.920748174,0.198626705,0.227617046,"16-32-64-128, Flip-HV, Dropout"
18,0.923838615,0.928911269,0.190157651,0.18947885,"16-32-64-128, Flip-HV, Dropout"
19,0.923194706,0.927358747,0.18930891,0.207984391,"16-32-64-128, Flip-HV, Dropout"
20,0.925505638,0.927083313,0.18480527,0.211541616,"16-32-64-128, Flip-HV, Dropout"
21,0.926950872,0.922651231,0.182356436,0.222419624,"16-32-64-128, Flip-HV, Dropout"
22,0.927015305,0.93704927,0.18048936,0.172395309,"16-32-64-128, Flip-HV, Dropout"
23,0.929748356,0.933869183,0.174908316,0.183018288,"16-32-64-128, Flip-HV, Dropout"
24,0.931909084,0.92578125,0.171554639,0.217046525,"16-32-64-128, Flip-HV, Dropout"
25,0.93164438,0.933794081,0.170945392,0.188809113,"16-32-64-128, Flip-HV, Dropout"
26,0.933282793,0.930588961,0.168063727,0.202440365,"16-32-64-128, Flip-HV, Dropout"
27,0.932631671,0.934369981,0.16884646,0.190945804,"16-32-64-128, Flip-HV, Dropout"
28,0.934370279,0.938952327,0.164313373,0.177089536,"16-32-64-128, Flip-HV, Dropout"
29,0.934313059,0.933092952,0.163981958,0.168707898,"16-32-64-128, Flip-HV, Dropout"
30,0.935951471,0.93865186,0.160210808,0.174369847,"16-32-64-128, Flip-HV, Dropout"
31,0.936781406,0.939653456,0.159434856,0.176860497,"16-32-64-128, Flip-HV, Dropout"
32,0.938104987,0.94012922,0.156013904,0.155711175,"16-32-64-128, Flip-HV, Dropout"
33,0.940001011,0.931365192,0.151111328,0.200473738,"16-32-64-128, Flip-HV, Dropout"
34,0.938570082,0.932842553,0.154999102,0.201883882,"16-32-64-128, Flip-HV, Dropout"
35,0.940237105,0.938902259,0.15057056,0.154840908,"16-32-64-128, Flip-HV, Dropout"
36,0.940179884,0.929537237,0.150910154,0.204772484,"16-32-64-128, Flip-HV, Dropout"
37,0.941710949,0.931365192,0.147286825,0.207344745,"16-32-64-128, Flip-HV, Dropout"
38,0.94278419,0.923753023,0.143796513,0.230574589,"16-32-64-128, Flip-HV, Dropout"
39,0.94357115,0.928786039,0.142459656,0.217532058,"16-32-64-128, Flip-HV, Dropout"
40,0.94348532,0.930613995,0.143060229,0.210265668,"16-32-64-128, Flip-HV, Dropout"
41,0.944150686,0.939628422,0.141437689,0.181731482,"16-32-64-128, Flip-HV, Dropout"
42,0.944765985,0.941831946,0.140129754,0.167151026,"16-32-64-128, Flip-HV, Dropout"
43,0.94562459,0.939778626,0.137308503,0.173541059,"16-32-64-128, Flip-HV, Dropout"
44,0.945281148,0.941105783,0.13670876,0.155972338,"16-32-64-128, Flip-HV, Dropout"
45,0.946876645,0.9369241,0.135268222,0.164765518,"16-32-64-128, Flip-HV, Dropout"
46,0.948221684,0.936974168,0.131355303,0.195210776,"16-32-64-128, Flip-HV, Dropout"
47,0.947928369,0.940730155,0.131365225,0.181230456,"16-32-64-128, Flip-HV, Dropout"
48,0.94810009,0.941731751,0.130828824,0.15517289,"16-32-64-128, Flip-HV, Dropout"
49,0.948600888,0.942332745,0.130211864,0.159365906,"16-32-64-128, Flip-HV, Dropout"
