,acc,val_acc,loss,val_loss,model
0,0.766614914,0.798427463,0.475995314,0.420788697,16-32-64
1,0.813849986,0.84087038,0.400765547,0.399674993,16-32-64
2,0.844836831,0.839042485,0.344290496,0.346314744,16-32-64
3,0.861156642,0.861478388,0.314300203,0.310878853,16-32-64
4,0.874356985,0.860727191,0.287984829,0.300920164,16-32-64
5,0.883579314,0.870242417,0.267697814,0.30251977,16-32-64
6,0.894161105,0.884740591,0.245900519,0.275011791,16-32-64
7,0.905672908,0.890650034,0.222014865,0.264300559,16-32-64
8,0.91389364,0.892327726,0.203382591,0.271010348,16-32-64
9,0.924332321,0.883213162,0.181653409,0.290352479,16-32-64
10,0.933146834,0.890599966,0.161320497,0.278015604,16-32-64
11,0.943850219,0.881585538,0.137972706,0.317870073,16-32-64
12,0.951934993,0.889723539,0.119210111,0.32024042,16-32-64
13,0.962023079,0.892077327,0.09681347,0.33658481,16-32-64
14,0.968040109,0.893053889,0.081451512,0.359604128,16-32-64
15,0.975953162,0.892027259,0.064251449,0.406140354,16-32-64
16,0.980131507,0.889498174,0.054757641,0.422278256,16-32-64
17,0.983537138,0.876777828,0.045560262,0.482158032,16-32-64
18,0.987858534,0.890549898,0.034787917,0.508717428,16-32-64
19,0.987600982,0.883563697,0.035153202,0.526344537,16-32-64
20,0.990648866,0.886418283,0.027312858,0.518042941,16-32-64
21,0.990627408,0.88556689,0.027601833,0.598093485,16-32-64
22,0.991807938,0.884615362,0.023978988,0.66419326,16-32-64
23,0.990362644,0.882987797,0.027391032,0.577310998,16-32-64
24,0.992065489,0.879907846,0.022870485,0.62418669,16-32-64
25,0.99333185,0.881710708,0.019839944,0.615784355,16-32-64
26,0.993131518,0.883513629,0.020213745,0.697400174,16-32-64
27,0.994862974,0.876903057,0.015113723,0.742191321,16-32-64
28,0.993775427,0.878981352,0.017638636,0.764772831,16-32-64
29,0.993603706,0.878155053,0.018586476,0.766989822,16-32-64
30,0.993453503,0.873147011,0.018265926,0.724966635,16-32-64
31,0.993496418,0.88120991,0.019820505,0.726997317,16-32-64
32,0.996050656,0.8833884,0.011768663,0.828549463,16-32-64
33,0.992795229,0.883188128,0.021067532,0.806543922,16-32-64
34,0.996522844,0.879807711,0.010350977,0.794736416,16-32-64
35,0.994319201,0.878155053,0.016365799,0.783405702,16-32-64
36,0.993875623,0.868589759,0.018053153,0.785963808,16-32-64
37,0.995592713,0.883864164,0.013251118,0.863323228,16-32-64
38,0.996007681,0.873697937,0.011956368,0.822471784,16-32-64
39,0.994934499,0.8833884,0.01606987,0.834424616,16-32-64
