,acc,val_acc,loss,val_loss,model
0,0.768768489,0.813576698,0.465843427,0.406735954,"16-32-64, FlipHV"
1,0.82249999,0.843249202,0.388105667,0.373949074,"16-32-64, FlipHV"
2,0.842533052,0.855744183,0.350449291,0.341517687,"16-32-64, FlipHV"
3,0.855511606,0.858498573,0.323477277,0.325321132,"16-32-64, FlipHV"
4,0.868533075,0.867538035,0.300154137,0.29171904,"16-32-64, FlipHV"
5,0.879086196,0.864232779,0.278531156,0.282831261,"16-32-64, FlipHV"
6,0.885711432,0.850010037,0.264928658,0.293025283,"16-32-64, FlipHV"
7,0.892107666,0.865610003,0.252856926,0.300626682,"16-32-64, FlipHV"
8,0.897566676,0.891125798,0.241785814,0.247694527,"16-32-64, FlipHV"
9,0.901601911,0.904121578,0.235893867,0.232364592,"16-32-64, FlipHV"
10,0.906431317,0.91245991,0.225061718,0.223438457,"16-32-64, FlipHV"
11,0.911081851,0.907602191,0.215513862,0.219448009,"16-32-64, FlipHV"
12,0.914337218,0.911858976,0.209426212,0.222941799,"16-32-64, FlipHV"
13,0.915009737,0.915164292,0.204875466,0.225049364,"16-32-64, FlipHV"
14,0.919087946,0.913937271,0.197451997,0.214459592,"16-32-64, FlipHV"
15,0.92289418,0.901166856,0.189538063,0.224429792,"16-32-64, FlipHV"
16,0.923530996,0.911658645,0.186708406,0.215307337,"16-32-64, FlipHV"
17,0.927301466,0.913386405,0.179848002,0.211685274,"16-32-64, FlipHV"
18,0.930199087,0.917092323,0.172744718,0.223100096,"16-32-64, FlipHV"
19,0.931537032,0.892252624,0.170244859,0.253673764,"16-32-64, FlipHV"
20,0.935321867,0.92360276,0.161866315,0.19976944,"16-32-64, FlipHV"
21,0.936502397,0.920422673,0.157563615,0.199587787,"16-32-64, FlipHV"
22,0.940129757,0.908703923,0.151668968,0.217537321,"16-32-64, FlipHV"
23,0.940051079,0.922475934,0.148637908,0.206365091,"16-32-64, FlipHV"
24,0.943342209,0.922175467,0.142735532,0.199434328,"16-32-64, FlipHV"
25,0.943850219,0.92290163,0.140420653,0.213650544,"16-32-64, FlipHV"
26,0.947599232,0.917668283,0.131769757,0.214178486,"16-32-64, FlipHV"
27,0.949516714,0.921975136,0.127463548,0.212170962,"16-32-64, FlipHV"
28,0.953694999,0.908453524,0.120165487,0.267464146,"16-32-64, FlipHV"
29,0.953008175,0.921549499,0.118751991,0.218829618,"16-32-64, FlipHV"
30,0.956478179,0.920247376,0.112381285,0.229287742,"16-32-64, FlipHV"
31,0.957794666,0.919095576,0.108080663,0.222764251,"16-32-64, FlipHV"
32,0.959704936,0.922275662,0.10374394,0.229203557,"16-32-64, FlipHV"
33,0.962903082,0.925931513,0.096308953,0.232561216,"16-32-64, FlipHV"
34,0.964405537,0.921674669,0.092682244,0.231795824,"16-32-64, FlipHV"
35,0.965908051,0.919921875,0.089477898,0.253202827,"16-32-64, FlipHV"
36,0.967775404,0.910281479,0.085064788,0.280436269,"16-32-64, FlipHV"
37,0.969485343,0.910406649,0.080814849,0.270996769,"16-32-64, FlipHV"
38,0.971245408,0.924253821,0.076541163,0.256308484,"16-32-64, FlipHV"
39,0.972747862,0.912109375,0.073373971,0.27648331,"16-32-64, FlipHV"
40,0.974808455,0.911833942,0.067072889,0.30557121,"16-32-64, FlipHV"
41,0.976267993,0.907476962,0.0642922,0.323356197,"16-32-64, FlipHV"
42,0.976768792,0.909730554,0.062254692,0.309072697,"16-32-64, FlipHV"
43,0.977977931,0.916090727,0.059416408,0.295644446,"16-32-64, FlipHV"
44,0.980095744,0.91899538,0.054016306,0.296519381,"16-32-64, FlipHV"
45,0.980203032,0.918394446,0.053875727,0.301367325,"16-32-64, FlipHV"
46,0.982099056,0.918269217,0.049396019,0.304812598,"16-32-64, FlipHV"
47,0.982871711,0.918970346,0.047039186,0.321193822,"16-32-64, FlipHV"
48,0.982428133,0.918244183,0.047078201,0.324809045,"16-32-64, FlipHV"
49,0.984223962,0.919145644,0.042894238,0.330390279,"16-32-64, FlipHV"
