,acc,val_acc,loss,val_loss,model
0,0.755024374,0.800681114,0.495128841,0.486521303,"16-32-64, Dropout"
1,0.816819191,0.778846145,0.392470534,0.570767145,"16-32-64, Dropout"
2,0.834047616,0.834184706,0.358272943,0.38481849,"16-32-64, Dropout"
3,0.84992379,0.823492587,0.330788335,0.440481144,"16-32-64, Dropout"
4,0.860441148,0.851061702,0.310718207,0.36069491,"16-32-64, Dropout"
5,0.870307446,0.847806513,0.290408221,0.399474721,"16-32-64, Dropout"
6,0.879551232,0.869340956,0.272969459,0.318901541,"16-32-64, Dropout"
7,0.88832289,0.877228558,0.255595503,0.300260071,"16-32-64, Dropout"
8,0.898782969,0.889398038,0.236009057,0.260654316,"16-32-64, Dropout"
9,0.906717539,0.882637203,0.217938948,0.315562145,"16-32-64, Dropout"
10,0.915009737,0.892903626,0.200520207,0.281902448,"16-32-64, Dropout"
11,0.922801197,0.892202497,0.183442475,0.305575243,"16-32-64, Dropout"
12,0.933504581,0.891351163,0.161232421,0.308550243,"16-32-64, Dropout"
13,0.940272868,0.891801894,0.14578583,0.322182955,"16-32-64, Dropout"
14,0.947956979,0.8984375,0.128947698,0.305981745,"16-32-64, Dropout"
15,0.956478179,0.896359146,0.109142905,0.329826922,"16-32-64, Dropout"
16,0.959540367,0.896233976,0.102061398,0.303777827,"16-32-64, Dropout"
17,0.965321362,0.893679917,0.088533033,0.352200518,"16-32-64, Dropout"
18,0.968290508,0.890449703,0.080855628,0.370863191,"16-32-64, Dropout"
19,0.973062694,0.894731581,0.070604755,0.373056752,"16-32-64, Dropout"
20,0.975802958,0.894280851,0.064710707,0.414231383,"16-32-64, Dropout"
21,0.977577269,0.89498198,0.058341851,0.422993435,"16-32-64, Dropout"
22,0.98028177,0.893755019,0.052473965,0.440320306,"16-32-64, Dropout"
23,0.98101151,0.892152429,0.050102053,0.440615168,"16-32-64, Dropout"
24,0.981877267,0.895432711,0.048315009,0.467022879,"16-32-64, Dropout"
25,0.984374225,0.895182312,0.04225246,0.451676739,"16-32-64, Dropout"
26,0.983751774,0.883163035,0.043679515,0.520734162,"16-32-64, Dropout"
27,0.985354424,0.894731581,0.040007459,0.471276388,"16-32-64, Dropout"
28,0.98523277,0.883889198,0.039801154,0.508525625,"16-32-64, Dropout"
29,0.987050056,0.895057082,0.035548731,0.454220879,"16-32-64, Dropout"
30,0.987379193,0.89613384,0.034639209,0.473722583,"16-32-64, Dropout"
31,0.986978531,0.896409273,0.036370742,0.500009616,"16-32-64, Dropout"
32,0.988853037,0.890900433,0.031001414,0.532405081,"16-32-64, Dropout"
33,0.988709927,0.893229187,0.030889429,0.492217128,"16-32-64, Dropout"
34,0.989217937,0.887069285,0.029982463,0.553571141,"16-32-64, Dropout"
35,0.9888888,0.885291457,0.03124239,0.56175682,"16-32-64, Dropout"
36,0.990827739,0.888847172,0.026915324,0.565188502,"16-32-64, Dropout"
37,0.990691781,0.890424669,0.026973862,0.555737199,"16-32-64, Dropout"
38,0.989482641,0.886568487,0.029365048,0.566756542,"16-32-64, Dropout"
39,0.990505755,0.889448106,0.02619879,0.537169307,"16-32-64, Dropout"
40,0.991707742,0.894856751,0.024002603,0.556329407,"16-32-64, Dropout"
41,0.991614759,0.892728388,0.023372041,0.591578888,"16-32-64, Dropout"
42,0.991779268,0.891526461,0.023992427,0.596841336,"16-32-64, Dropout"
43,0.991578937,0.888070941,0.024167471,0.638789102,"16-32-64, Dropout"
44,0.9918437,0.890124202,0.022651051,0.606535601,"16-32-64, Dropout"
45,0.991958141,0.888596773,0.022987925,0.622180488,"16-32-64, Dropout"
46,0.992222905,0.891927063,0.022911701,0.576115319,"16-32-64, Dropout"
47,0.991965294,0.891676664,0.022686957,0.566630449,"16-32-64, Dropout"
48,0.992416084,0.889648438,0.021363339,0.596124976,"16-32-64, Dropout"
49,0.99296695,0.887845576,0.020189272,0.628813366,"16-32-64, Dropout"
