,acc,val_acc,loss,val_loss,model
0,0.89828217,0.909329951,0.251437056,0.22093142,MobilenetV1
1,0.938384056,0.937775433,0.158605068,0.161493998,MobilenetV1
2,0.952256918,0.944911838,0.12476869,0.161530102,MobilenetV1
3,0.962387919,0.94576323,0.102197008,0.157249519,MobilenetV1
4,0.968612492,0.951021612,0.084181035,0.136806278,MobilenetV1
5,0.974021435,0.954226792,0.07192635,0.132653153,MobilenetV1
6,0.977813363,0.95760715,0.062506989,0.134304891,MobilenetV1
7,0.981469452,0.95760715,0.052332208,0.131164329,MobilenetV1
8,0.983916342,0.943609774,0.046036032,0.197011547,MobilenetV1
9,0.9864133,0.959960938,0.039183184,0.13266864,MobilenetV1
10,0.988230586,0.960561872,0.034472844,0.139214378,MobilenetV1
11,0.989818931,0.957657278,0.029346986,0.156033712,MobilenetV1
12,0.990634561,0.956154823,0.026797642,0.163777558,MobilenetV1
13,0.993904233,0.963942289,0.017782228,0.139701418,MobilenetV1
14,0.995621324,0.957131386,0.013643157,0.175559633,MobilenetV1
15,0.996401191,0.962965727,0.011809621,0.155030395,MobilenetV1
16,0.996959269,0.956430316,0.009791771,0.197474297,MobilenetV1
17,0.997402847,0.958809078,0.008624983,0.192190676,MobilenetV1
18,0.998247087,0.964793682,0.006316818,0.159476399,MobilenetV1
19,0.998712182,0.965795279,0.004673639,0.161104919,MobilenetV1
20,0.998955429,0.966220975,0.003722695,0.16981384,MobilenetV1
21,0.999177217,0.965745211,0.003314835,0.174453277,MobilenetV1
22,0.999384701,0.96599561,0.002410472,0.186777163,MobilenetV1
23,0.999456227,0.966396213,0.001951208,0.180576511,MobilenetV1
24,0.999713838,0.966871977,0.001344238,0.184666221,MobilenetV1
25,0.999728143,0.967172503,0.001226006,0.189792099,MobilenetV1
26,0.999785364,0.966871977,0.001085343,0.194193425,MobilenetV1
27,0.999763906,0.966947138,0.000821304,0.196375962,MobilenetV1
28,0.999828279,0.966922104,0.000732315,0.198457332,MobilenetV1
29,0.999799669,0.967072308,0.000742344,0.203071813,MobilenetV1
30,0.999885499,0.967047274,0.000470913,0.204680985,MobilenetV1
31,0.999849737,0.966947138,0.000487382,0.207208575,MobilenetV1
32,0.999921322,0.966796875,0.000340139,0.208971696,MobilenetV1
33,0.999935627,0.967097342,0.00030909,0.212213664,MobilenetV1
34,0.999921322,0.967122376,0.000315751,0.213251451,MobilenetV1
35,0.999935627,0.96702224,0.000291648,0.214419757,MobilenetV1
36,0.999964237,0.967122376,0.000274046,0.218806074,MobilenetV1
37,0.999921322,0.96714741,0.000253585,0.220615706,MobilenetV1
38,0.999914169,0.967122376,0.000252565,0.220958784,MobilenetV1
39,0.999957085,0.96702224,0.000225637,0.221555515,MobilenetV1
